File,Y,Pred
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame395.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\1\GOPR0820.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1498\GOPR1498-frame460.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame375.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1339\GOPR1339-frame0.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\17\GOPR1584\GOPR1584-frame520.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame20.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1437\GOPR1437-frame30.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame70.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame340.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame420.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame420.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\4\GOPR0784.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0581\GOPR0581-frame280.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame730.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame600.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame270.jpg,Dirty (60-80),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1303.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7753.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame580.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\6\GOPR0652.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame410.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0946\GOPR0946-frame620.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\21\GOPR1619\GOPR1619-frame285.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1339\GOPR1339-frame40.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame140.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame380.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\11\GOPR1077\GOPR1077-frame160.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame470.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1257\GOPR1257-frame100.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame40.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0581\GOPR0581-frame140.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame310.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame0.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1180\GOPR1180-frame300.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame870.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0858\GOPR0858-frame360.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame260.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame640.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame560.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame110.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1336.JPG,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame0.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame165.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame390.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame620.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0581\GOPR0581-frame130.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\4\GOPR0786\GOPR0786-frame430.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame220.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1527\GOPR1527-frame340.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1127.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1181.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1548.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame210.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame60.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1339\GOPR1339-frame310.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1258\GOPR1258-frame240.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6269.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1339\GOPR1339-frame70.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame280.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1412.JPG,Dirty (80-100),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame470.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame745.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6236.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame340.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame460.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1439.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame880.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0859.JPG,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame580.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame370.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\3\GOPR0587.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame740.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame930.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame970.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame40.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame600.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame350.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame390.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\11\GOPR1516\GOPR1516-frame270.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame1640.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\1\GOPR0684\GOPR0684-frame130.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame765.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\11\GOPR1516\GOPR1516-frame440.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\8\GOPR1027\GOPR1027-frame40.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\4\GOPR0786\GOPR0786-frame460.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\4\GOPR0625.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame720.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame460.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\20\GOPR1610\GOPR1610-frame345.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame190.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1528\GOPR1528-frame30.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1258\GOPR1258-frame70.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\A\GOPR1645\GOPR1645-frame5620.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame180.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame130.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame710.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1118.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame60.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\7\GOPR1475\GOPR1475-frame410.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\7\GOPR1475\GOPR1475-frame170.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame770.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame100.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0854.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1256\GOPR1256-frame130.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame420.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame720.jpg,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame560.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6316.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1389\GOPR1389-frame230.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame560.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\22\GOPR1628\GOPR1628-frame265.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame5791.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1493.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1342.JPG,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame830.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6296.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame370.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\11\GOPR1516\GOPR1516-frame600.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\7\GOPR1475\GOPR1475-frame210.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame560.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame120.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame690.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame980.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame5.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame150.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame690.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame470.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame790.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1182.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame110.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1528\GOPR1528-frame120.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame490.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1527\GOPR1527-frame120.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame310.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame5675.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame45.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1134.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame680.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0979\GOPR0979-frame380.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\8\GOPR1018.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\7\GOPR1002\GOPR1002-frame100.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame880.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6272.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame810.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0581\GOPR0581-frame180.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Clean\GOPR0582\GOPR0582-frame160.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame205.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame50.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame1605.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame450.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame470.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame0.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame200.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame990.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1498\GOPR1498-frame40.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame550.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame320.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0946\GOPR0946-frame200.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0902.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame30.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame5700.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1237\GOPR1237-frame0.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\6\GOPR0648\GOPR0648-frame0.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame5828.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6273.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame755.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame1360.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame320.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1389\GOPR1389-frame240.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame535.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\11\GOPR1076\GOPR1076-frame40.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0581\GOPR0581-frame120.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame685.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame560.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0946\GOPR0946-frame520.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1031\GOPR1031-frame830.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame530.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame480.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame165.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\22\GOPR1628\GOPR1628-frame730.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame510.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame800.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame700.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame685.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1257\GOPR1257-frame190.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (80-100)\22\GOPR1306\GOPR1306-frame810.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame1230.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\3\GOPR0591.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6233.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1498\GOPR1498-frame480.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame90.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame500.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0953.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1498\GOPR1498-frame290.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame5803.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame145.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame405.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame380.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1498\GOPR1498-frame20.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame140.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1361.JPG,Clean,Clean
